id,species,taxonId,ensembl,entrez,name,fullname,synonym,signature,chromStart,chromEnd,chromStrand,chromName,band,goTerms,function,goFunctions,goLocalizations,cerebralLocalization,nrIntxsValidated,nrIntxsPredicted,transcripts,humanOrthologs,mouseOrthologs,bovineOrthologs,lastModified
53814,Homo sapiens,9606,ENSG00000186803,3446,IFNA10,"interferon, alpha 10 ",IFN-alphaC,IFNA10|IDBG-53814|ENSG00000186803|3446,21206181,21207143,-1,9,p21.3,GO:0002250|adaptive immune response|biological_process#GO:0002286|T cell activation involved in immune response|biological_process#GO:0002323|natural killer cell activation involved in immune response|biological_process#GO:0005125|cytokine activity|molecular_function#GO:0005126|cytokine receptor binding|molecular_function#GO:0005132|type I interferon receptor binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0006952|defense response|biological_process#GO:0006959|humoral immune response|biological_process#GO:0007596|blood coagulation|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0030183|B cell differentiation|biological_process#GO:0033141|positive regulation of peptidyl-serine phosphorylation of STAT protein|biological_process#GO:0042100|B cell proliferation|biological_process#GO:0043330|response to exogenous dsRNA|biological_process#GO:0045087|innate immune response|biological_process#GO:0045343|regulation of MHC class I biosynthetic process|biological_process#GO:0051607|defense response to virus|biological_process#GO:0060337|type I interferon signaling pathway|biological_process#GO:0060338|regulation of type I interferon-mediated signaling pathway|biological_process, type I interferon receptor binding,GO:0005125: cytokine activity#GO:0005126: cytokine receptor binding#GO:0005132: type I interferon receptor binding,"GO:0005125: cytokine activity,GO:0005126: cytokine receptor binding,GO:0005132: type I interferon receptor binding",Extracellular,1,0,53816,,,,2017/2/20
53819,Homo sapiens,9606,ENSG00000136011,55576,STAB2,stabilin 2 ,,STAB2|IDBG-53819|ENSG00000136011|55576,103587273,103766727,1,12,q23.3,GO:0001525|angiogenesis|biological_process#GO:0005041|low-density lipoprotein receptor activity|molecular_function#GO:0005044|scavenger receptor activity|molecular_function#GO:0005509|calcium ion binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005540|hyaluronic acid binding|molecular_function#GO:0005737|cytoplasm|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0005975|carbohydrate metabolic process|biological_process#GO:0006897|endocytosis|biological_process#GO:0006898|receptor-mediated endocytosis|biological_process#GO:0007155|cell adhesion|biological_process#GO:0009897|external side of plasma membrane|cellular_component#GO:0010468|regulation of gene expression|biological_process#GO:0015035|protein disulfide oxidoreductase activity|molecular_function#GO:0030169|low-density lipoprotein particle binding|molecular_function#GO:0030193|regulation of blood coagulation|biological_process#GO:0030203|glycosaminoglycan metabolic process|biological_process#GO:0030212|hyaluronan metabolic process|biological_process#GO:0030214|hyaluronan catabolic process|biological_process#GO:0030666|endocytic vesicle membrane|cellular_component#GO:0042742|defense response to bacterium|biological_process#GO:0044281|small molecule metabolic process|biological_process#GO:0055114|oxidation-reduction process|biological_process, low-density lipoprotein particle binding,GO:0005041: low-density lipoprotein receptor activity#GO:0005044: scavenger receptor activity#GO:0005509: calcium ion binding#GO:0005515: protein binding#GO:0005540: hyaluronic acid binding#GO:0015035: protein disulfide oxidoreductase activity#GO:0030169: low-density lipoprotein particle binding,"GO:0005041: low-density lipoprotein receptor activity,GO:0005044: scavenger receptor activity,GO:0005509: calcium ion binding,GO:0005515: protein binding,GO:0005540: hyaluronic acid binding,GO:0015035: protein disulfide oxidoreductase activity,GO:0030169: low-density lipoprotein particle binding",Cell surface,10,0,53825|598170|598667,,Stab2|IDBG-182490|ENSMUSG00000035459|192188,"STAB2|IDBG-637173|ENSBTAG00000006010|101909970,407177",2017/2/20
53855,Homo sapiens,9606,ENSG00000197329,57162,PELI1,pellino E3 ubiquitin protein ligase 1 ,,PELI1|IDBG-53855|ENSG00000197329|57162,64092652,64144454,-1,2,p14,GO:0000209|protein polyubiquitination|biological_process#GO:0001819|positive regulation of cytokine production|biological_process#GO:0002224|toll-like receptor signaling pathway|biological_process#GO:0002755|MyD88-dependent toll-like receptor signaling pathway|biological_process#GO:0004842|ubiquitin-protein transferase activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005829|cytosol|cellular_component#GO:0008063|Toll signaling pathway|biological_process#GO:0016874|ligase activity|molecular_function#GO:0030890|positive regulation of B cell proliferation|biological_process#GO:0031398|positive regulation of protein ubiquitination|biological_process#GO:0032088|negative regulation of NF-kappaB transcription factor activity|biological_process#GO:0032496|response to lipopolysaccharide|biological_process#GO:0034134|toll-like receptor 2 signaling pathway|biological_process#GO:0034141|positive regulation of toll-like receptor 3 signaling pathway|biological_process#GO:0034142|toll-like receptor 4 signaling pathway|biological_process#GO:0034145|positive regulation of toll-like receptor 4 signaling pathway|biological_process#GO:0034146|toll-like receptor 5 signaling pathway|biological_process#GO:0034162|toll-like receptor 9 signaling pathway|biological_process#GO:0034166|toll-like receptor 10 signaling pathway|biological_process#GO:0038123|toll-like receptor TLR1:TLR2 signaling pathway|biological_process#GO:0038124|toll-like receptor TLR6:TLR2 signaling pathway|biological_process#GO:0042130|negative regulation of T cell proliferation|biological_process#GO:0043123|positive regulation of I-kappaB kinase/NF-kappaB signaling|biological_process#GO:0043331|response to dsRNA|biological_process#GO:0045087|innate immune response|biological_process#GO:0050868|negative regulation of T cell activation|biological_process#GO:0050871|positive regulation of B cell activation|biological_process#GO:0070936|protein K48-linked ubiquitination|biological_process, ligase activity,GO:0004842: ubiquitin-protein transferase activity#GO:0005515: protein binding#GO:0016874: ligase activity,"GO:0004842: ubiquitin-protein transferase activity,GO:0005515: protein binding,GO:0016874: ligase activity",Nucleus,35,4,53857,,Peli1|IDBG-153059|ENSMUSG00000020134|67245,PELI1|IDBG-635528|ENSBTAG00000020865|535054,2017/2/20
53886,Homo sapiens,9606,ENSG00000162302,8986,RPS6KA4,"ribosomal protein S6 kinase, 90kDa, polypeptide 4 ",MSK2|RSK-B,RPS6KA4|IDBG-53886|ENSG00000162302|8986,64359148,64372215,1,11,q13.1,"GO:0000287|magnesium ion binding|molecular_function#GO:0001818|negative regulation of cytokine production|biological_process#GO:0004672|protein kinase activity|molecular_function#GO:0004674|protein serine/threonine kinase activity|molecular_function#GO:0004711|ribosomal protein S6 kinase activity|molecular_function#GO:0004713|protein tyrosine kinase activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005524|ATP binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0006355|regulation of transcription, DNA-templated|biological_process#GO:0006468|protein phosphorylation|biological_process#GO:0006954|inflammatory response|biological_process#GO:0007411|axon guidance|biological_process#GO:0009103|lipopolysaccharide biosynthetic process|biological_process#GO:0016020|membrane|cellular_component#GO:0016572|histone phosphorylation|biological_process#GO:0016772|transferase activity, transferring phosphorus-containing groups|molecular_function#GO:0016773|phosphotransferase activity, alcohol group as acceptor|molecular_function#GO:0032793|positive regulation of CREB transcription factor activity|biological_process#GO:0033129|positive regulation of histone phosphorylation|biological_process#GO:0035066|positive regulation of histone acetylation|biological_process#GO:0035556|intracellular signal transduction|biological_process#GO:0043987|histone H3-S10 phosphorylation|biological_process#GO:0043988|histone H3-S28 phosphorylation|biological_process#GO:0045087|innate immune response|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0048273|mitogen-activated protein kinase p38 binding|molecular_function#GO:0051092|positive regulation of NF-kappaB transcription factor activity|biological_process#GO:0070498|interleukin-1-mediated signaling pathway|biological_process", transferase activity,"GO:0000287: magnesium ion binding#GO:0004672: protein kinase activity#GO:0004674: protein serine/threonine kinase activity#GO:0004711: ribosomal protein S6 kinase activity#GO:0004713: protein tyrosine kinase activity#GO:0005515: protein binding#GO:0005524: ATP binding#GO:0016772: transferase activity, transferring phosphorus-containing groups#GO:0016773: phosphotransferase activity, alcohol group as acceptor#GO:0048273: mitogen-activated protein kinase p38 binding","GO:0000287: magnesium ion binding,GO:0004672: protein kinase activity,GO:0004674: protein serine/threonine kinase activity,GO:0004711: ribosomal protein S6 kinase activity,GO:0004713: protein tyrosine kinase activity,GO:0005515: protein binding,GO:0005524: ATP binding,GO:0016772: transferase activity, transferring phosphorus-containing groups,GO:0016773: phosphotransferase activity, alcohol group as acceptor,GO:0048273: mitogen-activated protein kinase p38 binding",Nucleus,18,1,53888|602830|599858|583513,,Rps6ka4|IDBG-136793|ENSMUSG00000024952|56613,RPS6KA4|IDBG-643940|ENSBTAG00000039153|523746,2017/2/20
53891,Homo sapiens,9606,ENSG00000147885,3449,IFNA16,"interferon, alpha 16 ",IFN-alphaO,IFNA16|IDBG-53891|ENSG00000147885|3449,21216373,21239935,-1,9,p21.3,GO:0002250|adaptive immune response|biological_process#GO:0002286|T cell activation involved in immune response|biological_process#GO:0002323|natural killer cell activation involved in immune response|biological_process#GO:0005125|cytokine activity|molecular_function#GO:0005126|cytokine receptor binding|molecular_function#GO:0005132|type I interferon receptor binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0006952|defense response|biological_process#GO:0006959|humoral immune response|biological_process#GO:0007596|blood coagulation|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0030183|B cell differentiation|biological_process#GO:0033141|positive regulation of peptidyl-serine phosphorylation of STAT protein|biological_process#GO:0042100|B cell proliferation|biological_process#GO:0043330|response to exogenous dsRNA|biological_process#GO:0045087|innate immune response|biological_process#GO:0045343|regulation of MHC class I biosynthetic process|biological_process#GO:0051607|defense response to virus|biological_process#GO:0060337|type I interferon signaling pathway|biological_process#GO:0060338|regulation of type I interferon-mediated signaling pathway|biological_process, type I interferon receptor binding,GO:0005125: cytokine activity#GO:0005126: cytokine receptor binding#GO:0005132: type I interferon receptor binding,"GO:0005125: cytokine activity,GO:0005126: cytokine receptor binding,GO:0005132: type I interferon receptor binding",Extracellular,3,0,53893|807961,,,,2017/2/20
53904,Homo sapiens,9606,ENSG00000160570,162989,DEDD2,death effector domain containing 2 ,,DEDD2|IDBG-53904|ENSG00000160570|162989,42198598,42220140,-1,19,q13.2,"GO:0003677|DNA binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005730|nucleolus|cellular_component#GO:0006351|transcription, DNA-templated|biological_process#GO:0006396|RNA processing|biological_process#GO:0008625|extrinsic apoptotic signaling pathway via death domain receptors|biological_process#GO:0016075|rRNA catabolic process|biological_process#GO:0019725|cellular homeostasis|biological_process#GO:0030159|receptor signaling complex scaffold activity|molecular_function#GO:0030262|apoptotic nuclear changes|biological_process#GO:0035556|intracellular signal transduction|biological_process#GO:0042981|regulation of apoptotic process|biological_process#GO:0045892|negative regulation of transcription, DNA-templated|biological_process#GO:2001238|positive regulation of extrinsic apoptotic signaling pathway|biological_process", receptor signaling complex scaffold activity,GO:0003677: DNA binding#GO:0005515: protein binding#GO:0030159: receptor signaling complex scaffold activity,"GO:0003677: DNA binding,GO:0005515: protein binding,GO:0030159: receptor signaling complex scaffold activity",Nucleus,19,0,53906|765361|766189|765668|763691,,Dedd2|IDBG-156541|ENSMUSG00000054499|67379,DEDD2|IDBG-638613|ENSBTAG00000005761|534251,2017/2/20
53910,Homo sapiens,9606,ENSG00000005961,3674,ITGA2B,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) ",BDPLT16|BDPLT2|CD41|CD41B|GP2B|GPIIb|GT|GTA|HPA3|PPP1R93,ITGA2B|IDBG-53910|ENSG00000005961|3674,44372180,44389505,-1,17,q21.31,GO:0002576|platelet degranulation|biological_process#GO:0002687|positive regulation of leukocyte migration|biological_process#GO:0005515|protein binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0005925|focal adhesion|cellular_component#GO:0007155|cell adhesion|biological_process#GO:0007160|cell-matrix adhesion|biological_process#GO:0007229|integrin-mediated signaling pathway|biological_process#GO:0007411|axon guidance|biological_process#GO:0007596|blood coagulation|biological_process#GO:0008305|integrin complex|cellular_component#GO:0009897|external side of plasma membrane|cellular_component#GO:0009986|cell surface|cellular_component#GO:0030168|platelet activation|biological_process#GO:0030198|extracellular matrix organization|biological_process#GO:0031092|platelet alpha granule membrane|cellular_component#GO:0042802|identical protein binding|molecular_function#GO:0046872|metal ion binding|molecular_function#GO:0050840|extracellular matrix binding|molecular_function#GO:0070051|fibrinogen binding|molecular_function#GO:0070527|platelet aggregation|biological_process#GO:0072562|blood microparticle|cellular_component, fibrinogen binding,GO:0005515: protein binding#GO:0042802: identical protein binding#GO:0046872: metal ion binding#GO:0050840: extracellular matrix binding#GO:0070051: fibrinogen binding,"GO:0005515: protein binding,GO:0042802: identical protein binding,GO:0046872: metal ion binding,GO:0050840: extracellular matrix binding,GO:0070051: fibrinogen binding",Cell surface,18,1,53912|760169|764854,,Itga2b|IDBG-212667|ENSMUSG00000034664|16399,ITGA2B|IDBG-640964|ENSBTAG00000008165|515011,2017/2/20
53924,Homo sapiens,9606,ENSG00000082781,3693,ITGB5,"integrin, beta 5 ",,ITGB5|IDBG-53924|ENSG00000082781|3693,124761948,124901418,-1,3,q21.2,"GO:0002474|antigen processing and presentation of peptide antigen via MHC class I|biological_process#GO:0002479|antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent|biological_process#GO:0004872|receptor activity|molecular_function#GO:0005178|integrin binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0005925|focal adhesion|cellular_component#GO:0006936|muscle contraction|biological_process#GO:0007155|cell adhesion|biological_process#GO:0007229|integrin-mediated signaling pathway|biological_process#GO:0007275|multicellular organismal development|biological_process#GO:0008305|integrin complex|cellular_component#GO:0016020|membrane|cellular_component#GO:0030198|extracellular matrix organization|biological_process#GO:0031252|cell leading edge|cellular_component#GO:0042590|antigen processing and presentation of exogenous peptide antigen via MHC class I|biological_process#GO:0043235|receptor complex|cellular_component#GO:0045087|innate immune response|biological_process#GO:0045335|phagocytic vesicle|cellular_component#GO:0070062|extracellular vesicular exosome|cellular_component", protein binding,GO:0004872: receptor activity#GO:0005178: integrin binding#GO:0005515: protein binding,"GO:0004872: receptor activity,GO:0005178: integrin binding,GO:0005515: protein binding",Cell surface,38,3,53926|480526|810906|483830|484137|474704|810908|810910,,Itgb5|IDBG-155751|ENSMUSG00000022817|16419,ITGB5|IDBG-633501|ENSBTAG00000013755|282564,2017/2/20
53941,Homo sapiens,9606,ENSG00000132639,6616,SNAP25,"synaptosomal-associated protein, 25kDa ",bA416N4.2|dJ1068F16.2|RIC-4|RIC4|SEC9|SNAP|SNAP-25,SNAP25|IDBG-53941|ENSG00000132639|6616,10218830,10307418,1,20,p12.2,GO:0000149|SNARE binding|molecular_function#GO:0001504|neurotransmitter uptake|biological_process#GO:0005515|protein binding|molecular_function#GO:0005737|cytoplasm|cellular_component#GO:0005802|trans-Golgi network|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006112|energy reserve metabolic process|biological_process#GO:0007268|synaptic transmission|biological_process#GO:0007269|neurotransmitter secretion|biological_process#GO:0010975|regulation of neuron projection development|biological_process#GO:0014047|glutamate secretion|biological_process#GO:0016020|membrane|cellular_component#GO:0016081|synaptic vesicle docking involved in exocytosis|biological_process#GO:0016192|vesicle-mediated transport|biological_process#GO:0030054|cell junction|cellular_component#GO:0030426|growth cone|cellular_component#GO:0031083|BLOC-1 complex|cellular_component#GO:0031201|SNARE complex|cellular_component#GO:0043005|neuron projection|cellular_component#GO:0044281|small molecule metabolic process|biological_process#GO:0045202|synapse|cellular_component#GO:0048471|perinuclear region of cytoplasm|cellular_component#GO:0050796|regulation of insulin secretion|biological_process#GO:0060291|long-term synaptic potentiation|biological_process#GO:0070032|synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex|cellular_component#GO:0070201|regulation of establishment of protein localization|biological_process, protein binding,GO:0000149: SNARE binding#GO:0005515: protein binding,"GO:0000149: SNARE binding,GO:0005515: protein binding",Cell surface,46,16,53943|53945|366359,,Snap25|IDBG-207842|ENSMUSG00000027273|20614,SNAP25|IDBG-636453|ENSBTAG00000008323|540853,2017/2/20
53992,Homo sapiens,9606,ENSG00000147873,3442,IFNA5,"interferon, alpha 5 ",IFN-alpha-5|IFN-alphaG|INA5|INFA5|leIF G,IFNA5|IDBG-53992|ENSG00000147873|3442,21304326,21305312,-1,9,p21.3,GO:0002250|adaptive immune response|biological_process#GO:0002286|T cell activation involved in immune response|biological_process#GO:0002323|natural killer cell activation involved in immune response|biological_process#GO:0005125|cytokine activity|molecular_function#GO:0005126|cytokine receptor binding|molecular_function#GO:0005132|type I interferon receptor binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0006952|defense response|biological_process#GO:0006959|humoral immune response|biological_process#GO:0007596|blood coagulation|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0030183|B cell differentiation|biological_process#GO:0033141|positive regulation of peptidyl-serine phosphorylation of STAT protein|biological_process#GO:0042100|B cell proliferation|biological_process#GO:0043330|response to exogenous dsRNA|biological_process#GO:0045087|innate immune response|biological_process#GO:0045343|regulation of MHC class I biosynthetic process|biological_process#GO:0051607|defense response to virus|biological_process#GO:0060337|type I interferon signaling pathway|biological_process#GO:0060338|regulation of type I interferon-mediated signaling pathway|biological_process, type I interferon receptor binding,GO:0005125: cytokine activity#GO:0005126: cytokine receptor binding#GO:0005132: type I interferon receptor binding,"GO:0005125: cytokine activity,GO:0005126: cytokine receptor binding,GO:0005132: type I interferon receptor binding",Extracellular,2,0,53714|806962,,,,2017/2/20
54018,Homo sapiens,9606,ENSG00000163848,7707,ZNF148,zinc finger protein 148 ,BERF-1|BFCOL1|HT-BETA|pHZ-52|ZBP-89|ZFP148,ZNF148|IDBG-54018|ENSG00000163848|7707,125225561,125375354,-1,3,q21.2,"GO:0000122|negative regulation of transcription from RNA polymerase II promoter|biological_process#GO:0000976|transcription regulatory region sequence-specific DNA binding|molecular_function#GO:0003676|nucleic acid binding|molecular_function#GO:0003677|DNA binding|molecular_function#GO:0003690|double-stranded DNA binding|molecular_function#GO:0003700|sequence-specific DNA binding transcription factor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0006366|transcription from RNA polymerase II promoter|biological_process#GO:0006461|protein complex assembly|biological_process#GO:0006968|cellular defense response|biological_process#GO:0007276|gamete generation|biological_process#GO:0010629|negative regulation of gene expression|biological_process#GO:0021762|substantia nigra development|biological_process#GO:0043565|sequence-specific DNA binding|molecular_function#GO:0045892|negative regulation of transcription, DNA-templated|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0046872|metal ion binding|molecular_function", metal ion binding,GO:0000976: transcription regulatory region sequence-specific DNA binding#GO:0003676: nucleic acid binding#GO:0003677: DNA binding#GO:0003690: double-stranded DNA binding#GO:0003700: sequence-specific DNA binding transcription factor activity#GO:0005515: protein binding#GO:0043565: sequence-specific DNA binding#GO:0046872: metal ion binding,"GO:0000976: transcription regulatory region sequence-specific DNA binding,GO:0003676: nucleic acid binding,GO:0003677: DNA binding,GO:0003690: double-stranded DNA binding,GO:0003700: sequence-specific DNA binding transcription factor activity,GO:0005515: protein binding,GO:0043565: sequence-specific DNA binding,GO:0046872: metal ion binding",Nucleus,21,1,54024|474058|484877|482737|480007|484201|476249|477834|593052,,Zfp148|IDBG-155354|ENSMUSG00000022811|22661,ZNF148|IDBG-633628|ENSBTAG00000040031|613265,2017/2/20
54033,Homo sapiens,9606,ENSG00000198642,55958,KLHL9,kelch-like 9 (Drosophila) ,,KLHL9|IDBG-54033|ENSG00000198642|55958,21329671,21335380,-1,9,p21.3,GO:0000910|cytokinesis|biological_process#GO:0004842|ubiquitin-protein transferase activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0007067|mitotic nuclear division|biological_process#GO:0016567|protein ubiquitination|biological_process#GO:0030496|midbody|cellular_component#GO:0031463|Cul3-RING ubiquitin ligase complex|cellular_component, protein binding,GO:0004842: ubiquitin-protein transferase activity#GO:0005515: protein binding,"GO:0004842: ubiquitin-protein transferase activity,GO:0005515: protein binding",Unknown,18,0,54035,,Klhl9|IDBG-162376|ENSMUSG00000070923|242521,BT.19212|IDBG-647967|ENSBTAG00000012375|767834,2017/2/20
54065,Homo sapiens,9606,ENSG00000079462,5050,PAFAH1B3,"platelet-activating factor acetylhydrolase 1b, catalytic subunit 3 (29kDa) ",PAFAHG,PAFAH1B3|IDBG-54065|ENSG00000079462|5050,42297033,42303546,-1,19,q13.2,GO:0003847|1-alkyl-2-acetylglycerophosphocholine esterase activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005737|cytoplasm|cellular_component#GO:0005829|cytosol|cellular_component#GO:0006629|lipid metabolic process|biological_process#GO:0007283|spermatogenesis|biological_process#GO:0007399|nervous system development|biological_process#GO:0007420|brain development|biological_process#GO:0008152|metabolic process|biological_process#GO:0016020|membrane|cellular_component#GO:0016042|lipid catabolic process|biological_process#GO:0016787|hydrolase activity|molecular_function#GO:0046982|protein heterodimerization activity|molecular_function#GO:0070062|extracellular vesicular exosome|cellular_component, protein heterodimerization activity,GO:0003847: 1-alkyl-2-acetylglycerophosphocholine esterase activity#GO:0005515: protein binding#GO:0016787: hydrolase activity#GO:0046982: protein heterodimerization activity,"GO:0003847: 1-alkyl-2-acetylglycerophosphocholine esterase activity,GO:0005515: protein binding,GO:0016787: hydrolase activity,GO:0046982: protein heterodimerization activity",Plasma membrane,46,3,54067|589282|765503|762606|765713|763168|765430,,Pafah1b3|IDBG-157255|ENSMUSG00000005447|18476,PAFAH1B3|IDBG-638564|ENSBTAG00000019787|282515,2017/2/20
54068,Homo sapiens,9606,ENSG00000125863,8195,MKKS,McKusick-Kaufman syndrome ,BBS6|HMCS|KMS|MKS,MKKS|IDBG-54068|ENSG00000125863|8195,10401009,10434222,-1,20,p12.2,GO:0001103|RNA polymerase II repressing transcription factor binding|molecular_function#GO:0001947|heart looping|biological_process#GO:0005515|protein binding|molecular_function#GO:0005524|ATP binding|molecular_function#GO:0005622|intracellular|cellular_component#GO:0005813|centrosome|cellular_component#GO:0005829|cytosol|cellular_component#GO:0006457|protein folding|biological_process#GO:0007286|spermatid development|biological_process#GO:0007368|determination of left/right symmetry|biological_process#GO:0007507|heart development|biological_process#GO:0007601|visual perception|biological_process#GO:0007608|sensory perception of smell|biological_process#GO:0008406|gonad development|biological_process#GO:0010629|negative regulation of gene expression|biological_process#GO:0014824|artery smooth muscle contraction|biological_process#GO:0021756|striatum development|biological_process#GO:0021766|hippocampus development|biological_process#GO:0021987|cerebral cortex development|biological_process#GO:0031514|motile cilium|cellular_component#GO:0032402|melanosome transport|biological_process#GO:0033210|leptin-mediated signaling pathway|biological_process#GO:0035058|nonmotile primary cilium assembly|biological_process#GO:0035176|social behavior|biological_process#GO:0038108|negative regulation of appetite by leptin-mediated signaling pathway|biological_process#GO:0040018|positive regulation of multicellular organism growth|biological_process#GO:0042311|vasodilation|biological_process#GO:0042384|cilium assembly|biological_process#GO:0044267|cellular protein metabolic process|biological_process#GO:0044321|response to leptin|biological_process#GO:0045444|fat cell differentiation|biological_process#GO:0045494|photoreceptor cell maintenance|biological_process#GO:0045776|negative regulation of blood pressure|biological_process#GO:0046907|intracellular transport|biological_process#GO:0048854|brain morphogenesis|biological_process#GO:0050910|detection of mechanical stimulus involved in sensory perception of sound|biological_process#GO:0051082|unfolded protein binding|molecular_function#GO:0051131|chaperone-mediated protein complex assembly|biological_process#GO:0051216|cartilage development|biological_process#GO:0051877|pigment granule aggregation in cell center|biological_process#GO:0060027|convergent extension involved in gastrulation|biological_process#GO:0060271|cilium morphogenesis|biological_process#GO:0060296|regulation of cilium beat frequency involved in ciliary motility|biological_process, unfolded protein binding,GO:0001103: RNA polymerase II repressing transcription factor binding#GO:0005515: protein binding#GO:0005524: ATP binding#GO:0051082: unfolded protein binding,"GO:0001103: RNA polymerase II repressing transcription factor binding,GO:0005515: protein binding,GO:0005524: ATP binding,GO:0051082: unfolded protein binding",Cytoplasm,25,2,54070|231591|811762,,Mkks|IDBG-207925|ENSMUSG00000027274|59030,MKKS|IDBG-636458|ENSBTAG00000034987|614288,2017/2/20
54082,Homo sapiens,9606,ENSG00000120235,3443,IFNA6,"interferon, alpha 6 ",IFN-alphaK,IFNA6|IDBG-54082|ENSG00000120235|3443,21349835,21351378,-1,9,p21.3,GO:0002250|adaptive immune response|biological_process#GO:0002286|T cell activation involved in immune response|biological_process#GO:0002323|natural killer cell activation involved in immune response|biological_process#GO:0005125|cytokine activity|molecular_function#GO:0005126|cytokine receptor binding|molecular_function#GO:0005132|type I interferon receptor binding|molecular_function#GO:0005575|cellular_component|cellular_component#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0006952|defense response|biological_process#GO:0006959|humoral immune response|biological_process#GO:0007596|blood coagulation|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0030183|B cell differentiation|biological_process#GO:0033141|positive regulation of peptidyl-serine phosphorylation of STAT protein|biological_process#GO:0042100|B cell proliferation|biological_process#GO:0043330|response to exogenous dsRNA|biological_process#GO:0045087|innate immune response|biological_process#GO:0045343|regulation of MHC class I biosynthetic process|biological_process#GO:0051607|defense response to virus|biological_process#GO:0060337|type I interferon signaling pathway|biological_process#GO:0060338|regulation of type I interferon-mediated signaling pathway|biological_process, type I interferon receptor binding,GO:0005125: cytokine activity#GO:0005126: cytokine receptor binding#GO:0005132: type I interferon receptor binding,"GO:0005125: cytokine activity,GO:0005126: cytokine receptor binding,GO:0005132: type I interferon receptor binding",Extracellular,0,0,54084,,,,2017/2/20
